Ceil coordinates,,,,,,
TopLeft x,TopLeft y,BottomRight x,BottomRight y,,,
0,0,10,10,,,
,,,,,,
Objects,,,,,,
Sprite ID,x,y,Scale factor,Vertical Position,Has hitbox?,Pickable?
EPARMOR,14,9,5,128,1,1
EPARMOR1,14,9.5,5,128,1,1
ESTIM,14,10,5,128,1,1
EMEDI,14,10.5,5,128,1,1
EPCLIP,14,11,5,128,1,1
EPSHELL,14,11.5,5,128,1,1
EPROCK,14,12,5,128,1,1
EPCELL,14,12.5,5,128,1,1
EBKEY,14,13,5,128,1,1
EYKEY,14,13.5,5,128,1,1
ERKEY,14,14,5,128,1,1
EBSKEY,14,14.5,5,128,1,1
EYSKEY,14,15,5,128,1,1
ERSKEY,14,15.5,5,128,1,1
EPBFG,14,16,2,64,1,1
EPSHOTGUN,14,16.5,2,64,1,1
EPGATLIN,14,17,2,64,1,1
EPROCKETL,14,17.5,2,64,1,1
EPPLASMA,14,18,2,64,1,1
EPCHAINSAW,14,18.5,2,64,1,1
EPSUPERSHOTGUN,14,19,2,64,1,1
ESTIM,15,19,5,128,1,1
